Transaction_ID,Date,Cost_Center,GL_Account_Name,Account_Category,Vendor_Name,Budget_INR,Actual_INR
GL-582136,2025-12-18,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,43166.79,48818.43
GL-989965,2026-01-09,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Blue Yonder,375551.2,409477.48
GL-382127,2025-10-22,Supply Chain Services,Employee Benefit Expenses,OPEX,Prologis Warehousing,312072.14,303433.87
GL-396534,2025-04-17,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,436506.69,444427.48
GL-145398,2025-11-13,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,385313.89,488036.53
GL-214205,2024-12-06,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Vanderlande Sorters,272346.83,259286.12
GL-594969,2024-12-31,Supply Chain Services,IT Infrastructure (Servers),CAPEX,Blue Yonder,134922.34,130043.41
GL-112732,2024-08-11,Part Truckload (PTL),Automated Sorter Systems,CAPEX,AWS India,159845.44,166350.1
GL-879657,2025-03-10,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Reliance BP Mobility,490139.39,479073.1
GL-934045,2026-03-15,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Blue Yonder,336703.61,356391.47
GL-467204,2025-03-09,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,433607.58,434705.48
GL-873132,2025-11-20,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,39986.56,44922.52
GL-716480,2024-10-05,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,118652.34,120823.73
GL-852204,2025-11-02,Cross-Border,Employee Benefit Expenses,OPEX,Reliance BP Mobility,171877.64,168257.39
GL-533176,2026-02-27,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,392291.21,403046.18
GL-777580,2025-10-12,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,190851.39,185802.8
GL-846566,2025-10-11,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,AWS India,346935.8,339920.63
GL-225444,2025-06-14,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator B,475109.26,496632.16
GL-785749,2025-10-31,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,126098.06,132214.42
GL-243997,2024-05-16,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Reliance BP Mobility,479490.58,486852.38
GL-930692,2025-02-11,Corporate HQ,IT Infrastructure (Servers),CAPEX,Local Fleet Operator A,70882.71,73423.35
GL-574780,2024-04-07,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Blue Yonder,58485.88,59560.65
GL-146451,2025-07-30,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Reliance BP Mobility,286625.59,284620.95
GL-835985,2024-05-04,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,AWS India,315580.11,336011.5
GL-338254,2025-03-28,Express Parcel (B2C),Automated Sorter Systems,CAPEX,Prologis Warehousing,279126.0,267494.42
GL-406181,2025-11-29,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Reliance BP Mobility,121478.0,115887.94
GL-339144,2026-01-14,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,305194.19,315668.85
GL-291807,2026-03-30,Cross-Border,Automated Sorter Systems,CAPEX,Prologis Warehousing,357854.2,372773.5
GL-383270,2025-07-03,Supply Chain Services,IT Infrastructure (Servers),CAPEX,Blue Yonder,25252.19,24535.39
GL-484506,2024-04-08,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Reliance BP Mobility,360760.4,346587.61
GL-453438,2025-03-04,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,496183.51,491447.99
GL-871694,2025-02-25,Supply Chain Services,Automated Sorter Systems,CAPEX,Vanderlande Sorters,255757.17,266219.24
GL-886755,2025-09-28,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator B,63239.66,62293.15
GL-262710,2024-11-23,Cross-Border,Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,381084.04,362547.13
GL-971735,2025-11-25,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,491752.16,511550.67
GL-128153,2024-12-07,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Prologis Warehousing,364067.36,363514.28
GL-976176,2025-08-02,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,319205.98,308814.63
GL-887088,2025-10-05,Supply Chain Services,Automated Sorter Systems,CAPEX,AWS India,18225.39,18228.14
GL-986108,2025-01-02,Supply Chain Services,Automated Sorter Systems,CAPEX,Prologis Warehousing,81772.54,80868.09
GL-598233,2025-12-15,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,303773.44,311102.13
GL-491842,2026-03-31,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,149277.41,159163.0
GL-941605,2025-02-28,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,319521.4,353616.06
GL-957506,2025-10-19,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Local Fleet Operator A,21695.15,20830.44
GL-840689,2025-08-20,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,158058.94,157604.15
GL-246564,2024-08-09,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,121861.45,119900.09
GL-942300,2024-07-19,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator B,278031.02,266745.63
GL-295294,2024-12-11,Corporate HQ,IT Infrastructure (Servers),CAPEX,Prologis Warehousing,246517.4,248500.06
GL-831848,2024-10-21,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,190809.09,193283.33
GL-224431,2025-03-29,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Indian Oil Corp,173339.44,178077.95
GL-814963,2024-10-26,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,490430.88,645723.77
GL-830667,2025-12-26,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Blue Yonder,57967.0,64989.86
GL-842616,2024-10-26,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Blue Yonder,324420.57,327095.28
GL-199929,2025-08-29,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,497841.64,512941.37
GL-743174,2025-12-21,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Prologis Warehousing,400085.95,381874.33
GL-434675,2024-07-26,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,468730.2,484448.43
GL-395008,2025-07-02,Corporate HQ,Material Handling Equipment (AGVs),CAPEX,AWS India,338519.49,338652.11
GL-705599,2025-10-17,Cross-Border,Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,243651.85,250207.1
GL-281989,2024-09-30,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,488533.55,477216.56
GL-617800,2025-01-23,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,32057.39,30621.12
GL-459458,2024-05-26,Part Truckload (PTL),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,239297.04,240211.05
GL-469185,2024-09-05,Corporate HQ,IT Infrastructure (Servers),CAPEX,AWS India,181433.78,174591.2
GL-302689,2024-07-06,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Reliance BP Mobility,29618.4,29978.47
GL-212591,2025-01-01,Corporate HQ,IT Infrastructure (Servers),CAPEX,Indian Oil Corp,444588.33,454632.71
GL-477618,2026-02-20,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,451425.2,431696.31
GL-820619,2026-01-29,Supply Chain Services,Automated Sorter Systems,CAPEX,Reliance BP Mobility,96052.56,95038.73
GL-376527,2024-04-02,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Prologis Warehousing,429771.44,414538.56
GL-138648,2025-03-13,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,268853.44,280325.65
GL-122889,2026-04-01,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,238057.38,233928.57
GL-835046,2026-02-19,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,256908.93,274980.08
GL-563129,2024-10-18,Corporate HQ,IT Infrastructure (Servers),CAPEX,Amazon Web Serv,496495.6,518616.19
GL-396115,2025-04-28,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Blue Yonder,251982.61,242578.77
GL-990430,2024-06-14,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,AWS India,130740.92,125139.39
GL-164354,2024-08-18,Supply Chain Services,IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,349279.85,343340.66
GL-524728,2025-10-09,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,439157.83,447607.66
GL-719205,2024-07-13,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,225254.21,250169.86
GL-363587,2026-03-26,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Amazon Web Serv,151452.9,146503.42
GL-364506,2025-05-22,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,204760.02,199968.01
GL-295134,2025-01-30,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator A,482911.71,478607.02
GL-635877,2026-02-16,Supply Chain Services,Automated Sorter Systems,CAPEX,Indian Oil Corp,442872.58,464479.33
GL-535576,2024-07-08,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,AWS India,62539.82,61720.07
GL-539529,2024-10-23,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,468144.53,583723.48
GL-536390,2024-07-29,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Vanderlande Sorters,188442.33,188783.69
GL-219025,2024-05-12,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator B,39103.03,38199.13
GL-291730,2025-08-23,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator B,103657.41,107364.01
GL-103779,2025-06-25,Corporate HQ,Employee Benefit Expenses,OPEX,Prologis Warehousing,138720.68,135355.6
GL-705044,2025-01-27,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Indian Oil Corp,268081.66,259949.95
GL-538077,2026-02-07,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,116158.33,120457.69
GL-296992,2024-08-09,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Reliance BP Mobility,106208.86,106363.88
GL-237526,2025-02-15,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,78794.86,76953.85
GL-387923,2026-01-03,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,469659.46,491555.19
GL-982922,2025-06-09,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,425513.88,432722.31
GL-901591,2025-01-24,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,170168.45,166902.27
GL-515078,2025-09-04,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,468475.49,454738.13
GL-231523,2025-02-21,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,283250.35,280432.2
GL-905715,2025-09-03,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,140725.41,157997.9
GL-494531,2025-11-17,Supply Chain Services,Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,194426.82,197575.9
GL-274829,2025-12-09,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,108549.45,148412.87
GL-715133,2025-10-26,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Indian Oil Corp,201667.06,210600.24
GL-581896,2024-05-01,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator A,105719.39,104686.66
GL-808024,2025-02-20,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,104139.95,109062.75
GL-870756,2024-09-24,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,178887.34,194550.88
GL-547184,2026-02-26,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,261774.96,255057.71
GL-604673,2024-12-20,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,19721.98,26924.48
GL-599289,2025-04-30,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator A,310266.92,312575.64
GL-249253,2026-02-01,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,AWS India,495887.43,557066.11
GL-672127,2025-04-21,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator B,198682.22,195021.0
GL-328609,2025-06-19,Cross-Border,Freight Handling & Contract Labor,OPEX,Blue Yonder,224355.93,218948.95
GL-775294,2024-04-05,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,39180.93,40065.83
GL-769371,2025-01-11,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,252958.13,246412.94
GL-326778,2025-09-08,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Indian Oil Corp,434418.0,455278.02
GL-866975,2025-09-07,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,413527.68,425232.25
GL-400402,2025-07-03,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator B,147206.07,143450.85
GL-651079,2025-12-14,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,390528.81,392613.15
GL-273220,2025-08-30,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,96777.95,110771.89
GL-455185,2025-04-23,Supply Chain Services,Employee Benefit Expenses,OPEX,Indian Oil Corp,139305.28,142457.25
GL-134967,2025-10-26,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Blue Yonder,379020.85,373462.48
GL-967038,2025-05-30,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Prologis Warehousing,220221.16,220762.07
GL-679498,2024-12-03,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,AWS India,360831.85,375686.56
GL-538670,2024-05-02,Supply Chain Services,Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,233683.68,239313.94
GL-727391,2024-08-12,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,57870.58,61189.06
GL-552611,2025-04-19,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Reliance BP Mobility,175101.56,182041.22
GL-960435,2024-05-04,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,AWS India,182143.44,187119.6
GL-358269,2025-05-07,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,441682.52,444969.13
GL-565585,2024-11-29,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator B,376199.02,458483.85
GL-388429,2025-08-17,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator A,333439.74,354981.8
GL-720546,2024-11-18,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,471008.13,528800.52
GL-593650,2026-03-17,Corporate HQ,IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,83595.27,87374.02
GL-944355,2025-12-07,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,347496.66,344429.29
GL-562300,2026-03-01,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,146334.0,152168.78
GL-814760,2025-09-10,Corporate HQ,Cloud Hosting (Orion Platform),OPEX,Blue Yonder,220449.48,237889.35
GL-154889,2026-01-03,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Indian Oil Corp,243291.86,237998.6
GL-616602,2024-04-10,Corporate HQ,Automated Sorter Systems,CAPEX,Prologis Warehousing,30669.51,32021.91
GL-270145,2024-05-01,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Local Fleet Operator B,385559.62,436799.64
GL-163999,2024-11-16,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator B,486781.77,470276.08
GL-996855,2024-08-02,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Blue Yonder,20398.65,20437.87
GL-859636,2025-04-11,Supply Chain Services,Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,13904.76,13379.59
GL-694172,2024-11-26,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Vanderlande Sorters,423110.14,479944.69
GL-790336,2025-12-11,Corporate HQ,Employee Benefit Expenses,OPEX,Indian Oil Corp,403354.05,397289.72
GL-932944,2025-12-18,Corporate HQ,Employee Benefit Expenses,OPEX,Local Fleet Operator B,154922.41,154032.18
GL-777783,2024-04-25,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Indian Oil Corp,198532.26,205858.97
GL-860591,2024-06-07,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,142738.16,139732.98
GL-396919,2025-05-14,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,307820.42,340859.5
GL-880996,2025-02-06,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Local Fleet Operator B,406656.12,414901.57
GL-210982,2025-08-28,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator A,130999.22,131341.81
GL-864573,2025-11-27,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,138764.56,132188.5
GL-880837,2024-11-30,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Blue Yonder,307960.65,315422.2
GL-586655,2024-11-23,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,323032.81,314041.44
GL-601129,2025-06-12,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,441729.0,444817.41
GL-648925,2024-04-25,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,AWS India,95316.69,92988.64
GL-225202,2025-03-22,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,468389.59,470139.52
GL-722619,2025-11-30,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,443202.95,616274.2
GL-360877,2024-09-22,Part Truckload (PTL),Automated Sorter Systems,CAPEX,Vanderlande Sorters,176658.75,170651.27
GL-955400,2024-09-25,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Reliance BP Mobility,127077.67,132071.13
GL-154872,2026-03-30,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Prologis Warehousing,358485.77,348715.49
GL-183740,2025-04-15,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,457460.23,459620.53
GL-167323,2024-05-18,Supply Chain Services,IT Infrastructure (Servers),CAPEX,Amazon Web Serv,144314.73,149490.67
GL-632414,2026-03-23,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Blue Yonder,279841.91,292143.23
GL-357647,2024-06-27,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Local Fleet Operator A,48954.49,50352.0
GL-545983,2026-03-22,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,34820.53,36843.27
GL-401455,2025-10-07,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,Indian Oil Corp,467159.99,463068.42
GL-522046,2024-05-08,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,AWS India,303745.0,329319.48
GL-797681,2025-12-15,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,169662.14,165115.22
GL-443078,2026-02-05,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,97864.79,107531.79
GL-692537,2025-07-19,Express Parcel (B2C),Automated Sorter Systems,CAPEX,AWS India,32411.78,31099.98
GL-439172,2025-09-26,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Indian Oil Corp,282583.97,287436.45
GL-159625,2025-04-15,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Vanderlande Sorters,23199.47,23583.76
GL-497397,2026-02-20,Corporate HQ,Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,358998.68,371000.85
GL-625385,2025-09-22,Supply Chain Services,Cloud Hosting (Orion Platform),OPEX,Blue Yonder,263764.39,292836.35
GL-832895,2024-10-26,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Blue Yonder,268238.79,257809.44
GL-653084,2025-04-20,Cross-Border,Line-haul Costs (Fuel & Tolls),OPEX,Reliance BP Mobility,91970.92,90705.42
GL-664636,2025-06-30,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Prologis Warehousing,300506.01,291600.04
GL-122884,2025-10-18,Corporate HQ,Line-haul Costs (Fuel & Tolls),OPEX,Prologis Warehousing,440215.18,601939.46
GL-450455,2025-08-17,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,319824.57,334223.63
GL-205818,2025-09-23,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Vanderlande Sorters,16699.42,16886.13
GL-547898,2026-01-29,Cross-Border,Employee Benefit Expenses,OPEX,Vanderlande Sorters,250024.22,247657.62
GL-834795,2025-07-16,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,255900.51,267510.24
GL-507801,2024-10-23,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,322499.44,402781.1
GL-238044,2025-07-02,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Reliance BP Mobility,388531.22,372676.02
GL-108118,2026-01-01,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Reliance BP Mobility,43259.17,45313.51
GL-582638,2024-04-05,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Local Fleet Operator B,56287.76,58078.76
GL-457163,2025-02-19,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Blue Yonder,177459.69,178897.22
GL-540104,2025-12-20,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Local Fleet Operator B,286865.2,276172.13
GL-800100,2025-03-08,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Prologis Warehousing,38187.02,42067.37
GL-389335,2024-12-18,Cross-Border,Freight Handling & Contract Labor,OPEX,Vanderlande Sorters,437933.88,443775.01
GL-188291,2026-01-29,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Indian Oil Corp,378733.29,394537.79
GL-803667,2024-07-16,Express Parcel (B2C),Automated Sorter Systems,CAPEX,AWS India,272433.0,285747.01
GL-270189,2025-01-02,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,AWS India,255594.22,254274.49
GL-248774,2025-11-08,Supply Chain Services,IT Infrastructure (Servers),CAPEX,Blue Yonder,132286.84,128026.67
GL-542447,2025-01-20,Express Parcel (B2C),IT Infrastructure (Servers),CAPEX,Indian Oil Corp,206831.09,216992.56
GL-119387,2025-11-29,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,262064.31,301252.98
GL-692718,2025-05-27,Part Truckload (PTL),Freight Handling & Contract Labor,OPEX,AWS India,378755.73,376034.99
GL-457484,2025-10-18,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Reliance BP Mobility,192641.98,199357.18
GL-424153,2024-05-19,Express Parcel (B2C),Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,34745.14,33642.17
GL-921429,2024-12-09,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Prologis Warehousing,293740.77,290940.75
GL-204338,2024-08-17,Express Parcel (B2C),Employee Benefit Expenses,OPEX,Blue Yonder,251067.12,248531.81
GL-788600,2025-12-06,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,67197.13,84715.74
GL-653926,2024-12-08,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Local Fleet Operator A,305215.2,426975.49
GL-641629,2026-02-22,Corporate HQ,Line-haul Costs (Fuel & Tolls),OPEX,Vanderlande Sorters,251704.82,255147.88
GL-922163,2025-03-01,Supply Chain Services,Material Handling Equipment (AGVs),CAPEX,Blue Yonder,53468.85,52595.23
GL-221942,2024-12-31,Express Parcel (B2C),Employee Benefit Expenses,OPEX,AWS India,160741.89,168148.84
GL-542813,2025-04-22,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Local Fleet Operator B,96699.25,94782.43
GL-524967,2024-08-01,Corporate HQ,IT Infrastructure (Servers),CAPEX,Prologis Warehousing,430836.83,443777.96
GL-437847,2025-05-25,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Prologis Warehousing,278053.87,279103.68
GL-729441,2025-06-08,Part Truckload (PTL),Material Handling Equipment (AGVs),CAPEX,Local Fleet Operator A,496746.68,507602.52
GL-770758,2025-06-26,Part Truckload (PTL),Employee Benefit Expenses,OPEX,Local Fleet Operator A,298140.41,300912.05
GL-852051,2024-06-01,Corporate HQ,Automated Sorter Systems,CAPEX,Local Fleet Operator A,192156.74,199627.31
GL-965336,2025-06-02,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,174199.58,169267.87
GL-893695,2025-09-10,Part Truckload (PTL),IT Infrastructure (Servers),CAPEX,Vanderlande Sorters,474326.37,493525.62
GL-353237,2025-07-03,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Blue Yonder,283136.5,269214.11
GL-488415,2025-07-26,Express Parcel (B2C),Cloud Hosting (Orion Platform),OPEX,Reliance BP Mobility,463037.3,510407.68
GL-894075,2025-09-19,Express Parcel (B2C),Material Handling Equipment (AGVs),CAPEX,Reliance BP Mobility,392063.73,400776.15
GL-562887,2026-01-15,Express Parcel (B2C),Line-haul Costs (Fuel & Tolls),OPEX,AWS India,387583.42,405324.47
GL-429199,2025-07-22,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Blue Yonder,219880.6,213115.14
GL-667844,2025-10-09,Corporate HQ,IT Infrastructure (Servers),CAPEX,Prologis Warehousing,103887.0,101774.05
GL-328613,2025-10-31,Express Parcel (B2C),Employee Benefit Expenses,OPEX,AWS India,497748.56,489994.68
GL-600973,2025-03-12,Part Truckload (PTL),Line-haul Costs (Fuel & Tolls),OPEX,Prologis Warehousing,231772.04,230612.51
GL-203705,2024-09-25,Cross-Border,Facility Leases (Hubs & Gateways),OPEX,Reliance BP Mobility,197620.05,194482.62
GL-682801,2025-09-07,Corporate HQ,Freight Handling & Contract Labor,OPEX,Local Fleet Operator A,89031.36,86492.5
GL-436773,2024-05-22,Express Parcel (B2C),Facility Leases (Hubs & Gateways),OPEX,Local Fleet Operator A,138717.58,133598.5
GL-690913,2025-12-10,Part Truckload (PTL),Cloud Hosting (Orion Platform),OPEX,Indian Oil Corp,18444.95,21058.73
